id_song,track_name,artist(s)_name,id_rec_1,id_rec_2,id_rec_3,id_rec_4,id_rec_5,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,et_key,et_mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,artist_0,artist_1,artist_2,artist_3,artist_4,artist_5,artist_6,artist_7,genre_inferred,subgenre_inferred
0,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",583,350,624,670,591,553,147,141381703,43,263,45,10,826,125,1,1,80,89,83,31,0,8,4,latto,jung kook,,,,,,,K-Pop,Latin / Reggaeton
1,LALA,Myke Towers,399,86,655,178,580,1474,48,133716286,48,126,58,14,382,92,2,1,71,61,74,7,0,10,4,myke towers,,,,,,,,Latin / Reggaeton,
2,vampire,Olivia Rodrigo,76,646,716,134,36,1397,113,140003974,94,207,91,14,949,138,3,1,51,32,53,17,0,31,6,olivia rodrigo,,,,,,,,Pop,
3,Cruel Summer,Taylor Swift,370,372,713,117,91,7858,100,800840817,116,207,125,12,548,170,4,1,55,58,72,11,0,11,15,taylor swift,,,,,,,,Pop,
4,WHERE SHE GOES,Bad Bunny,296,278,382,190,425,3133,50,303236322,84,133,87,15,425,144,4,0,65,23,80,14,63,11,6,bad bunny,,,,,,,,Latin / Reggaeton,Pop
5,Sprinter,"Dave, Central Cee",683,369,580,178,523,2186,91,183706234,67,213,88,17,946,141,2,1,92,66,58,19,0,8,24,dave,central cee,,,,,,,Hip-Hop / Rap,
6,Ella Baila Sola,"Eslabon Armado, Peso Pluma",18,31,17,649,11,3090,50,725980112,34,222,43,13,418,148,3,0,67,83,76,48,0,8,3,eslabon armado,peso pluma,,,,,,,Latin / Reggaeton,
7,Columbia,Quevedo,160,97,719,36,134,714,43,58149378,25,89,30,13,194,100,3,1,67,26,71,37,0,11,4,quevedo,,,,,,,,Latin / Reggaeton,Pop
8,fukumean,Gunna,559,549,499,691,124,1096,83,95217315,60,210,48,11,953,130,2,0,85,22,62,12,0,28,9,gunna,,,,,,,,Hip-Hop / Rap,
9,La Bebe - Remix,"Peso Pluma, Yng Lvcas",242,488,303,268,480,2953,44,553634067,49,110,66,13,339,170,5,0,81,56,48,21,0,8,33,peso pluma,yng lvcas,,,,,,,Latin / Reggaeton,Hip-Hop / Rap
